NUM;SAC;SIC;TIME;TIME(s);LAT;LON;H;TYP_020;SIM_020;RDP_020;SPI_020;RAB_020;TST_020;ERR_020;XPP_020;ME_020;MI_020;FOE_FRI_020;RHO;THETA;V_070;G_070;MODE 3/A;V_090;G_090;FL;MODE C Corrected Altitude;SRL_130;SSR_130;SAM_130;PRL_130;PAM_130;RPD_130;APD_130;TA;TI;MCP_ALT;FMS_ALT;BP;VNAV;ALT_HOLD;APP;TARGET_ALT_SOURCE;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;X;Y;GS_KT;HEADING;CNF_170;RAD_170;DOU_170;MAH_170;CDM_170;TRE_170;GHO_170;SUP_170;TCC_170;HEIGHT;COM_230;STAT_230;SI_230;MSCC_230;ARC_230;AIC_230;B1A_230;B1B_230
98;20;129;08:00:10.000;28810;41.7283852510658;2.2796683012018524;10058.566708954051;Single ModeS Roll-Call;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;27.4296875;17.2760009765625;Code Validated;Default;1162;Code Validated;Default;330.0;;1.40625 dg;5;-56 dBm;N/A;N/A;0.14453125 NM;-0.28564453125 dg;49328F;NJE875Q;33008;2496;1013.3;Active;Not Active;Not Active;FCU/MCP Selected Altitude;N/A;N/A;N/A;N/A;N/A;167.34375;268;0.76;0.0;0.0;777;N/A;N/A;512.841796875;166.124267578125;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 0101
100;20;129;08:00:10.000;28810;41.69861390773158;2.4282407093532052;2987.0730653628707;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;28.08203125;31.5362548828125;Code Validated;Default;2145;Code Validated;Default;98.0;;1.0107421875 dg;4;-50 dBm;0.7470703125 dg;51 dBm;0.13671875 NM;0.1318359375 dg;484163;KLM97C;9008;0;1013.2;Not Active;Not Active;Not Active;Unknown;-0.17578125;-158.02734375;300.0;-0.03125;266;-156.796875;230;0.41600000000000004;-832.0;-736.0;1720;N/A;N/A;299.70703125;201.939697265625;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 0101
103;20;129;08:00:10.000;28810;41.535803531705476;2.456664135403332;335.1666995380074;Single SSR detection;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;21.33203125;48.5101318359375;Code Validated;Default;7052;Code Validated;Default;11.0;;4.0869140625 dg;7;-55 dBm;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2460;N/A;N/A;88.1103515625;72.66357421875;Confirmed Track;SSR/Mode S Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
104;20;129;08:00:10.000;28810;41.53558966093812;2.4707627141944473;716.1521709961817;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;21.80859375;49.63623046875;Code Validated;Default;7372;Code Validated;Default;23.5;;0.8349609375 dg;3;-55 dBm;0.3515625 dg;53 dBm;0.09765625 NM;0.10986328125 dg;3452CD;EAX1M;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2740;N/A;N/A;101.513671875;74.2291259765625;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 0;BDS 1,0 bits 37/40 = 0000
106;20;129;08:00:11.000;28811;41.31693894070902;2.1367374575433455;181.04980515129864;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;1.84765625;58.150634765625;Code Validated;Default;6423;Code Validated;Default;4.5;594.0;1.0107421875 dg;4;-31 dBm;0.3076171875 dg;46 dBm;0.1171875 NM;-0.087890625 dg;20176;MAC373P;3008;0;1018.0;Not Active;Not Active;Not Active;Unknown;1.40625;-114.609375;150.0;0.15625;140;-114.609375;140;0.212;-800.0;-768.0;3325;N/A;N/A;149.4140625;245.489501953125;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 0001
107;20;129;08:00:11.000;28811;41.3728945364823;2.300522997746755;767.7415168639272;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;9.96875;64.171142578125;Code Validated;Default;3747;Code Validated;Default;23.75;2519.0;1.93359375 dg;4;-45 dBm;0.703125 dg;49 dBm;0.15234375 NM;0.0 dg;C0171A;ACA8?0;2304;0;1018.0;Not Active;Not Active;Not Active;Unknown;N/A;N/A;N/A;N/A;N/A;-116.54296875;179;0.28;-320.0;-256.0;2675;N/A;N/A;189.6240234375;244.3798828125;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 1101
136;20;129;08:00:14.000;28814;41.702692405227005;2.206094132227462;2888.1515250876546;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;24.61328125;10.975341796875;Code Validated;Default;2011;Code Validated;Default;94.75;;1.40625 dg;5;-48 dBm;1.142578125 dg;52 dBm;0.1328125 NM;-0.19775390625 dg;4CA216;EIN56P;6000;0;1018.0;Not Active;Not Active;Not Active;Unknown;N/A;N/A;N/A;N/A;N/A;164.00390625;252;0.452;-1344.0;-1632.0;3164;N/A;N/A;321.8994140625;167.255859375;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 0101
137;20;129;08:00:14.000;28814;41.719188675911376;2.282843873421165;10058.556205798872;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;26.95703125;17.9296875;Code Validated;Default;1162;Code Validated;Default;330.0;;1.7578125 dg;5;-56 dBm;0.7470703125 dg;34 dBm;0.1328125 NM;-0.0439453125 dg;49328F;NJE875Q;33008;2496;1013.3;Active;Not Active;Not Active;FCU/MCP Selected Altitude;N/A;N/A;N/A;N/A;N/A;166.81640625;269;0.76;-64.0;0.0;777;N/A;N/A;513.720703125;165.6903076171875;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 0101
139;20;129;08:00:14.000;28814;41.69348045450468;2.4256004161544085;2971.830823848024;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;27.7578125;31.66259765625;Code Validated;Default;2145;Code Validated;Default;97.5;;1.40625 dg;5;-51 dBm;0.7470703125 dg;49 dBm;0.14453125 NM;0.15380859375 dg;484163;KLM97C;9008;0;1013.2;Not Active;Not Active;Not Active;Unknown;N/A;N/A;N/A;N/A;N/A;-156.97265625;230;0.41600000000000004;-864.0;-832.0;1720;N/A;N/A;297.7294921875;202.08251953125;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 0101
142;20;129;08:00:15.000;28815;41.536310209073115;2.4589541094359095;335.164674683474;Single SSR detection;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;21.4296875;48.6309814453125;Code Validated;Default;7052;Code Validated;Default;11.0;;3.1640625 dg;5;-56 dBm;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2460;N/A;N/A;89.8681640625;72.9217529296875;Confirmed Track;SSR/Mode S Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
143;20;129;08:00:15.000;28815;41.53626736927659;2.473062969828537;716.1501378053799;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;21.9140625;49.7296142578125;Code Validated;Default;7372;Code Validated;Default;23.5;;1.2744140625 dg;4;-56 dBm;0.3076171875 dg;55 dBm;0.0859375 NM;0.1318359375 dg;3452CD;EAX1M;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2740;N/A;N/A;101.2939453125;73.2623291015625;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 0;BDS 1,0 bits 37/40 = 0000
145;20;129;08:00:15.000;28815;41.315791565617104;2.1334131785172374;165.81007408257574;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;1.68359375;57.4420166015625;Code Validated;Default;6423;Code Validated;Default;4.0;544.0;0.966796875 dg;3;-28 dBm;1.318359375 dg;40 dBm;0.15625 NM;-0.06591796875 dg;20176;MAC373P;3008;0;1018.0;Not Active;Not Active;Not Active;Unknown;N/A;N/A;N/A;N/A;N/A;-114.08203125;140;0.212;-864.0;-768.0;3325;N/A;N/A;149.4140625;245.489501953125;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 0001
146;20;129;08:00:15.000;28815;41.371355241536136;2.296324566904375;760.123593843542;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;9.7578125;64.1766357421875;Code Validated;Default;3747;Code Validated;Default;23.5;2494.0;1.4501953125 dg;4;-45 dBm;1.142578125 dg;63 dBm;0.140625 NM;-0.19775390625 dg;C0171A;ACA8?0;2304;0;1018.0;Not Active;Not Active;Not Active;Unknown;N/A;N/A;N/A;N/A;N/A;-115.83984375;176;0.276;-320.0;-320.0;2675;N/A;N/A;186.5478515625;244.9456787109375;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 1101
177;20;129;08:00:18.000;28818;41.696915595170914;2.207907855545061;2865.2857083128765;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;24.2890625;11.3214111328125;Code Validated;Default;2011;Code Validated;Default;94.0;;1.40625 dg;5;-47 dBm;0.17578125 dg;52 dBm;0.11328125 NM;-0.06591796875 dg;4CA216;EIN56P;6000;0;1018.0;Not Active;Not Active;Not Active;Unknown;N/A;N/A;N/A;N/A;N/A;164.8828125;251;0.448;-832.0;-672.0;3164;N/A;N/A;319.921875;167.178955078125;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 0101
